country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",08-04-2025 15:00,25.366336,87.117468,OZONE,21,42,30
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",08-04-2025 15:00,25.0328,85.41948,PM10,NA,NA,NA
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",08-04-2025 15:00,25.892357,86.590325,PM10,57,135,90
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",08-04-2025 15:00,25.892357,86.590325,CO,16,66,41
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",08-04-2025 15:00,25.859655,85.77944,NO2,1,3,2
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",08-04-2025 15:00,25.859655,85.77944,SO2,6,29,24
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",08-04-2025 15:00,24.952822,84.002396,PM2.5,110,253,171
India,Bihar,Munger,"Town Hall, Munger - BSPCB",08-04-2025 15:00,25.376776,86.471523,OZONE,2,11,5
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",08-04-2025 15:00,26.11442,85.39813,NH3,7,10,9
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",08-04-2025 15:00,26.1403345,85.3650192,PM2.5,38,273,91
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",08-04-2025 15:00,26.1403345,85.3650192,NH3,2,5,2
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",08-04-2025 15:00,26.1209,85.3647,CO,14,41,21
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",08-04-2025 15:00,25.7808257,84.7446768,CO,8,13,9
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",08-04-2025 15:00,25.7808257,84.7446768,OZONE,6,87,50
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",08-04-2025 15:00,24.7955,84.9994,SO2,14,15,14
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",08-04-2025 15:00,24.792403,84.992416,NH3,4,6,5
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",08-04-2025 15:00,24.762518,84.982348,NO2,18,25,22
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",08-04-2025 15:00,25.697189,85.2459,OZONE,49,141,80
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",08-04-2025 15:00,25.560083,87.553265,NH3,1,1,1
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",08-04-2025 15:00,25.560083,87.553265,SO2,15,24,20
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",08-04-2025 15:00,26.0881305,87.93840336,NO2,2,4,3
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",08-04-2025 15:00,24.952822,84.002396,PM10,82,125,102
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",08-04-2025 15:00,26.2271665,84.3570427,NO2,8,14,10
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",08-04-2025 15:00,30.735567,76.775714,NO2,29,320,94
India,Bihar,Munger,"Town Hall, Munger - BSPCB",08-04-2025 15:00,25.376776,86.471523,NO2,21,23,23
India,Bihar,Munger,"Town Hall, Munger - BSPCB",08-04-2025 15:00,25.376776,86.471523,NH3,6,9,7
India,Bihar,Munger,"Town Hall, Munger - BSPCB",08-04-2025 15:00,25.376776,86.471523,SO2,NA,NA,NA
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",08-04-2025 15:00,25.204762,85.51496,CO,10,12,12
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",08-04-2025 15:00,22.12665,83.483212,OZONE,8,9,8
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",08-04-2025 15:00,22.1910172,83.5197009,CO,11,57,24
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",08-04-2025 15:00,21.258815,81.578979,NO2,35,89,56
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",08-04-2025 15:00,21.258815,81.578979,CO,26,95,36
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",08-04-2025 15:00,21.219665,81.630094,PM2.5,6,54,34
India,Delhi,Delhi,"Burari Crossing, Delhi - IMD",08-04-2025 15:00,28.7256504,77.2011573,CO,30,55,43
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",08-04-2025 15:00,28.5512005,77.2735737,PM10,104,400,207
India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",08-04-2025 15:00,28.5512005,77.2735737,NO2,10,149,54
